,Year,Quarter,State,Colonies,Max Colonies,Lost Colonies,Added Colonies,Renovated Colonies
273,2018,Q2,Utah,21000.0,31000,2700.0,12500,10000
274,2018,Q2,Vermont,6000.0,8000,170.0,390,190
275,2018,Q2,Virginia,8500.0,9500,1000.0,3100,1100
276,2018,Q2,Washington,75000.0,111000,7000.0,30000,20000
277,2018,Q2,West Virginia,7500.0,7500,370.0,4100,2500
278,2018,Q2,Wisconsin,18000.0,65000,4000.0,13000,6500
279,2018,Q2,Wyoming,15000.0,30000,1300.0,6000,3500
280,2018,Q2,Other States 5/,5650.0,7160,160.0,870,940
281,0,0,0,0.0,0,0.0,0,0
282,2018,Q3,Alabama,7000.0,9500,900.0,690,530
283,2018,Q3,Arizona,26000.0,26000,4100.0,5000,3200
284,2018,Q3,Arkansas,29000.0,29000,6000.0,4400,410
285,2018,Q3,California,590000.0,670000,67000.0,73000,74000
286,2018,Q3,Colorado,35000.0,42000,4300.0,2900,6410
287,2018,Q3,Connecticut,3500.0,3500,130.0,50,20
288,2018,Q3,Florida,176000.0,180000,39000.0,39000,42000
289,2018,Q3,Georgia,121000.0,122000,15500.0,19000,23000
290,2018,Q3,Hawaii,15000.0,15000,1100.0,430,20
291,2018,Q3,Idaho,89000.0,116000,12000.0,9000,16500
292,2018,Q3,Illinois,13000.0,13000,1100.0,710,1200
293,2018,Q3,Indiana,13000.0,13000,930.0,420,740
294,2018,Q3,Iowa,40000.0,43000,2200.0,2100,4000
295,2018,Q3,Kansas,7000.0,7000,1700.0,1400,1000
296,2018,Q3,Kentucky,9000.0,9000,1600.0,450,700
297,2018,Q3,Louisiana,64000.0,64000,13500.0,14500,34000
298,2018,Q3,Maine,5500.0,6000,400.0,210,290
299,2018,Q3,Maryland,8500.0,8500,1600.0,1300,600
300,2018,Q3,Massachusetts,9000.0,9000,760.0,790,460
301,2018,Q3,Michigan,103000.0,109000,17500.0,4300,11500
302,2018,Q3,Minnesota,136000.0,136000,20000.0,1900,2200
303,2018,Q3,Mississippi,24000.0,24000,2900.0,250,230
304,2018,Q3,Missouri,9000.0,9000,580.0,320,310
305,2018,Q3,Montana,154000.0,161000,18500.0,3100,23000
